date,description,actual_state,close,forecast
2025-07-03,chinese-caixin-services-pmi-596,51.1,50.6,51.0
2025-06-05,chinese-caixin-services-pmi-596,50.7,51.1,
2025-05-06,chinese-caixin-services-pmi-596,51.9,50.7,51.7
2025-04-03,chinese-caixin-services-pmi-596,51.4,51.9,51.6
2025-03-05,chinese-caixin-services-pmi-596,51.0,51.4,50.8
2025-02-05,chinese-caixin-services-pmi-596,52.2,51.0,52.3
2025-01-06,chinese-caixin-services-pmi-596,51.5,52.2,51.7
2024-12-04,chinese-caixin-services-pmi-596,52.0,51.5,52.5
2024-11-05,chinese-caixin-services-pmi-596,50.3,52.0,50.5
2024-09-30,chinese-caixin-services-pmi-596,51.6,50.3,51.5
2024-09-04,chinese-caixin-services-pmi-596,52.1,51.6,52.2
2024-08-05,chinese-caixin-services-pmi-596,51.2,52.1,51.4
2024-07-03,chinese-caixin-services-pmi-596,54.0,51.2,53.4
2024-06-05,chinese-caixin-services-pmi-596,52.5,54.0,52.6
2024-05-06,chinese-caixin-services-pmi-596,52.7,52.5,
2024-04-03,chinese-caixin-services-pmi-596,52.5,52.7,
2024-03-05,chinese-caixin-services-pmi-596,52.7,52.5,
2024-02-05,chinese-caixin-services-pmi-596,52.9,52.7,
2024-01-04,chinese-caixin-services-pmi-596,51.5,52.9,51.6
2023-12-05,chinese-caixin-services-pmi-596,50.4,51.5,
2023-11-03,chinese-caixin-services-pmi-596,50.2,50.4,
2023-10-01,chinese-caixin-services-pmi-596,51.8,50.2,
2023-09-05,chinese-caixin-services-pmi-596,51.9,51.8,53.6
2023-08-03,chinese-caixin-services-pmi-596,53.9,54.1,52.5
2023-07-05,chinese-caixin-services-pmi-596,57.1,53.9,
2023-06-05,chinese-caixin-services-pmi-596,56.4,57.1,
2023-05-05,chinese-caixin-services-pmi-596,57.8,56.4,
2023-04-06,chinese-caixin-services-pmi-596,55.0,57.8,
2023-03-03,chinese-caixin-services-pmi-596,52.9,55.0,
2023-02-03,chinese-caixin-services-pmi-596,48.0,52.9,
2023-01-05,chinese-caixin-services-pmi-596,46.7,48.0,
2022-12-05,chinese-caixin-services-pmi-596,48.4,46.7,
2022-11-03,chinese-caixin-services-pmi-596,49.3,48.4,
2022-10-08,chinese-caixin-services-pmi-596,55.0,49.3,
2022-09-05,chinese-caixin-services-pmi-596,55.5,55.0,
2022-08-03,chinese-caixin-services-pmi-596,54.5,55.5,
2022-07-05,chinese-caixin-services-pmi-596,41.4,54.5,
2022-06-06,chinese-caixin-services-pmi-596,36.2,41.4,
2022-05-05,chinese-caixin-services-pmi-596,42.0,36.3,
2022-04-06,chinese-caixin-services-pmi-596,50.2,42.0,
2022-03-03,chinese-caixin-services-pmi-596,51.4,50.4,
2022-02-07,chinese-caixin-services-pmi-596,53.1,51.4,
2022-01-06,chinese-caixin-services-pmi-596,52.1,53.1,
2021-12-03,chinese-caixin-services-pmi-596,53.8,52.1,
2021-11-03,chinese-caixin-services-pmi-596,53.4,53.8,
2021-10-08,chinese-caixin-services-pmi-596,46.7,53.4,
2021-09-03,chinese-caixin-services-pmi-596,54.9,46.7,
2021-08-04,chinese-caixin-services-pmi-596,50.3,54.9,
2021-07-05,chinese-caixin-services-pmi-596,55.1,50.3,
2021-06-03,chinese-caixin-services-pmi-596,56.3,55.1,
2021-05-07,chinese-caixin-services-pmi-596,54.3,56.3,
2021-04-06,chinese-caixin-services-pmi-596,51.5,54.3,
2021-03-03,chinese-caixin-services-pmi-596,52.0,51.5,
2021-02-03,chinese-caixin-services-pmi-596,56.3,52.0,
2021-01-06,chinese-caixin-services-pmi-596,57.8,56.3,
2020-12-03,chinese-caixin-services-pmi-596,56.8,57.8,
2020-11-04,chinese-caixin-services-pmi-596,56.8,56.8,
2020-10-09,chinese-caixin-services-pmi-596,54.0,54.8,
2020-09-03,chinese-caixin-services-pmi-596,54.1,54.0,
2020-08-05,chinese-caixin-services-pmi-596,58.4,54.1,
2020-07-03,chinese-caixin-services-pmi-596,55.0,58.4,
2020-06-03,chinese-caixin-services-pmi-596,44.4,55.0,
2020-05-07,chinese-caixin-services-pmi-596,43.0,44.4,
2020-04-03,chinese-caixin-services-pmi-596,26.5,43.0,
2020-03-04,chinese-caixin-services-pmi-596,51.8,26.5,
2020-02-05,chinese-caixin-services-pmi-596,52.5,51.8,52.6
2020-01-06,chinese-caixin-services-pmi-596,53.5,52.5,
2019-12-04,chinese-caixin-services-pmi-596,51.1,53.5,52.7
2019-11-05,chinese-caixin-services-pmi-596,51.3,51.1,52.8
2019-10-08,chinese-caixin-services-pmi-596,52.1,51.3,52.9
2019-09-04,chinese-caixin-services-pmi-596,51.6,52.1,
2019-08-05,chinese-caixin-services-pmi-596,52.0,51.6,52.0
2019-07-03,chinese-caixin-services-pmi-596,52.7,52.0,52.6
2019-06-05,chinese-caixin-services-pmi-596,54.5,52.7,54.3
2019-05-06,chinese-caixin-services-pmi-596,54.4,54.5,52.8
2019-04-03,chinese-caixin-services-pmi-596,51.1,54.4,52.3
2019-03-05,chinese-caixin-services-pmi-596,53.6,51.1,53.5
2019-02-03,chinese-caixin-services-pmi-596,53.9,53.6,
2019-01-04,chinese-caixin-services-pmi-596,53.8,53.9,52.9
2018-12-05,chinese-caixin-services-pmi-596,50.8,53.8,50.7
2018-11-05,chinese-caixin-services-pmi-596,53.1,50.8,52.9
2018-10-08,chinese-caixin-services-pmi-596,51.5,53.1,51.4
2018-09-05,chinese-caixin-services-pmi-596,52.8,51.5,52.7
2018-08-03,chinese-caixin-services-pmi-596,53.9,52.8,53.7
2018-07-04,chinese-caixin-services-pmi-596,52.9,53.9,52.7
2018-06-05,chinese-caixin-services-pmi-596,52.9,52.9,
2018-05-04,chinese-caixin-services-pmi-596,52.3,52.9,52.2
2018-04-04,chinese-caixin-services-pmi-596,54.2,52.3,54.5
2018-03-05,chinese-caixin-services-pmi-596,54.7,54.2,54.3
2018-02-05,chinese-caixin-services-pmi-596,53.9,54.7,53.6
2018-01-04,chinese-caixin-services-pmi-596,51.9,53.9,51.8
2017-12-05,chinese-caixin-services-pmi-596,51.2,51.9,51.5
2017-11-03,chinese-caixin-services-pmi-596,50.6,51.2,50.8
2017-10-09,chinese-caixin-services-pmi-596,52.7,50.6,53.1
2017-09-05,chinese-caixin-services-pmi-596,51.5,52.7,51.8
2017-08-03,chinese-caixin-services-pmi-596,51.6,51.5,51.9
2017-07-05,chinese-caixin-services-pmi-596,52.8,51.6,52.9
2017-06-05,chinese-caixin-services-pmi-596,51.5,52.8,
2017-05-04,chinese-caixin-services-pmi-596,52.2,51.5,52.6
2017-04-06,chinese-caixin-services-pmi-596,52.6,52.2,53.2
2017-03-03,chinese-caixin-services-pmi-596,53.1,52.6,53.3
2017-02-06,chinese-caixin-services-pmi-596,53.4,53.1,53.6
2017-01-05,chinese-caixin-services-pmi-596,53.1,53.4,53.3
2016-12-05,chinese-caixin-services-pmi-596,52.4,53.1,52.7
2016-11-03,chinese-caixin-services-pmi-596,52.0,52.4,52.5
2016-10-08,chinese-caixin-services-pmi-596,52.1,52.0,
2016-09-05,chinese-caixin-services-pmi-596,51.7,52.1,
2016-08-03,chinese-caixin-services-pmi-596,52.7,51.7,52.9
2016-07-05,chinese-caixin-services-pmi-596,51.2,52.7,52.3
2016-06-03,chinese-caixin-services-pmi-596,51.8,51.2,
2016-05-05,chinese-caixin-services-pmi-596,52.2,51.8,52.6
2016-04-06,chinese-caixin-services-pmi-596,51.2,52.2,51.4
2016-03-03,chinese-caixin-services-pmi-596,52.4,51.2,52.6
2016-02-03,chinese-caixin-services-pmi-596,50.2,52.4,51.2
2016-01-06,chinese-caixin-services-pmi-596,51.2,50.2,
2015-12-03,chinese-caixin-services-pmi-596,52.0,51.2,
2015-11-04,chinese-caixin-services-pmi-596,50.5,52.0,
2015-10-01,chinese-caixin-services-pmi-596,51.50,50.50,
